U;P
1.0;9.8e-1
1.1;1.15
1.2;1.35
1.3;1.5
1.4;1.7
1.5;1.9
1.6;2.15
1.5;2.64
1.4;2.8
1.5;3.36
1.6;4.05
1.7;4.6
1.8;5.1
1.9;5.55
2.0;6.0 # дрожит
2.2;6.9
2.3;7.4
2.4;7.8
2.5;8.25
2.6;8.65 # дрожит
2.7;9.1
2.8;9.55 # пошло ±1 скакать
2.9;9.55
2.9;9.9
3.0;10.2
3.1;10.5 #?
3.2;11.1 # ±2 скачет до 3.5
3.5;11.1
3.3;11.3
4.3;12.25
5;12.8
