t
### продув по 100
#0:19 # (100)
#0:35.5
### p = 96мрт, 1014
0:00
0:18.3
0:37
0:55
1:13
1:32 #~
1:48
2:07
2:25
2:42
3:01
3:20 # 1100
3:37 # ~
3:54
4:13
4:31 # 1500
4:50
5:07 # 1700
5:27
5:44
6:01
6:20
6:37
6:54
7:14
7:32
7:50 # 2600
8:09
8:25
8:43
9:01
9:19
9:37
9:54
